0,0
1,1
2,17
3,28
4,82
5,148
6,247
7,298
8,356
9,416
10,436
11,421
12,331
13,289
14,271
15,214
16,177
17,141
18,94
19,64
20,56
21,37
22,22
23,15
24,7
25,7
26,1
27,0
28,0
29,1
